rootfile,mppc_board,mppc_ch,led_run,ped_run,mppc_hv,led_hv,chi2,ndf,q1,q1_err,pxt,pxt_err
spe_result_ped437_led435_board0.root,0,6,435,437,58.0,1.165,171.1503139272689,163,11.810735959787817,0.12174219782464313,0.6755173996962021,0.019017854839422088
spe_result_ped437_led435_board1.root,1,6,435,437,58.0,1.165,208.46232348300907,166,11.08488602830354,0.0982912219150851,0.7430208868920749,0.016832031582554308
spe_result_ped437_led435_board2.root,2,6,435,437,58.0,1.165,235.11876197039854,128,9.00000000002119,0.009361133316651227,0.5779582767512415,0.011100254350956629
spe_result_ped437_led435_board3.root,3,6,435,437,58.0,1.165,180.05303885125457,150,10.999999988814157,0.028526360513310145,0.5954802796510533,0.012040920177904813
spe_result_ped437_led436_board0.root,0,6,436,437,58.0,1.17,153.71596007445947,164,11.75186845477519,0.12440466870880051,0.6720980623916653,0.03648566798403746
spe_result_ped437_led436_board1.root,1,6,436,437,58.0,1.17,247.94101490416202,179,10.989583640052048,0.07803816494984517,0.7140147771758814,0.01685154215096457
spe_result_ped437_led436_board2.root,2,6,436,437,58.0,1.17,291.85341255332924,139,9.00000000003803,0.03658444549573936,0.48930114914481754,0.009105215269856748
spe_result_ped437_led436_board3.root,3,6,436,437,58.0,1.17,162.95552147956673,161,11.087670034467774,0.07921075988556225,0.5583331482571212,0.014425146743831219
spe_result_ped442_led439_board0.root,0,7,439,442,58.0,1.16,299.875662124613,170,12.024265308575234,0.09714562900869961,0.7534716022937944,0.015061014488476798
spe_result_ped442_led439_board1.root,1,7,439,442,58.0,1.16,180.08555063272095,164,10.932436732905767,0.0832323270942128,0.717564547052676,0.014211515592840729
spe_result_ped442_led439_board2.root,2,7,439,442,58.0,1.16,200.81327115691872,145,9.658029353957732,0.05885178819495884,0.6265535267280326,0.012401510328425458
spe_result_ped442_led439_board3.root,3,7,439,442,58.0,1.16,220.31532738059997,148,11.300518840373805,0.08247096000455745,0.5729280306299674,0.013251161429617409
spe_result_ped442_led440_board0.root,0,7,440,442,58.0,1.155,276.59452002382625,158,12.381997098253944,0.1218578541403268,0.7205953289988364,0.019618925074063986
spe_result_ped442_led440_board1.root,1,7,440,442,58.0,1.155,185.76086315395955,154,10.989688634796414,0.17711252899938046,0.7540257115030298,0.015772253420741178
spe_result_ped442_led440_board2.root,2,7,440,442,58.0,1.155,201.01900722371934,141,9.713791946145651,0.08022190520300843,0.650241922196943,0.014421764858258468
spe_result_ped442_led440_board3.root,3,7,440,442,58.0,1.155,149.3556537282332,139,11.439727462730039,0.09573695845995811,0.6131592922530236,0.023263839015694954
spe_result_ped442_led441_board0.root,0,7,441,442,58.0,1.165,166.49148752369834,171,12.082673104033965,0.13274174478872247,0.6838522935817882,0.015146404119150358
spe_result_ped442_led441_board1.root,1,7,441,442,58.0,1.165,227.61404135521025,168,10.74001402357356,0.07461837548402439,0.7104154241806245,0.01650646513430476
spe_result_ped442_led441_board2.root,2,7,441,442,58.0,1.165,264.76721045358147,155,9.673740451510218,0.06133334234757637,0.5484804225162171,0.013846307589689244
spe_result_ped442_led441_board3.root,3,7,441,442,58.0,1.165,327.2031544298715,161,11.312084869679683,0.0685667696977772,0.5391900148519078,0.013624351493503606
spe_result_ped447_led444_board0.root,0,8,444,447,58.0,1.17,246.49912942863926,162,11.981279892674428,0.08776604177703362,0.6519494642982628,0.013785369991379526
spe_result_ped447_led444_board1.root,1,8,444,447,58.0,1.17,171.4365325173392,154,10.955952431439773,0.06686527875496573,0.6737647960149697,0.012625511498919273
spe_result_ped447_led444_board2.root,2,8,444,447,58.0,1.17,177.56227862796683,141,9.647336801708107,0.06477943999340141,0.6813642098551697,0.013922983730383365
spe_result_ped447_led444_board3.root,3,8,444,447,58.0,1.17,135.48187359225508,140,11.176171176256739,0.10625063707139759,0.6159174037126066,0.016692194588470655
spe_result_ped447_led445_board0.root,0,8,445,447,58.0,1.175,184.8496972703571,170,11.847160563420653,0.11151362025384515,0.6303788843649264,0.017113403652619652
spe_result_ped447_led445_board1.root,1,8,445,447,58.0,1.175,171.20638283104012,157,10.979977881665436,0.06484010030699494,0.6198786077284022,0.013195996404331667
spe_result_ped447_led445_board2.root,2,8,445,447,58.0,1.175,154.02933962478505,145,9.681574359412238,0.07437297199500037,0.6196466048981283,0.016072746242636715
